city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Ragland AL,89.1,7.9,0,0.4,2.1,0.4,32.3
Enterprise AL,88.2,7.5,0,0.8,2.5,1,19
Ranburne AL,86.2,9.5,0,0,4.3,0,35.6
Troy AL,83.2,7.4,0,3.2,5.7,0.6,17
Crossville AL,87.2,9,0.6,0,2.6,0.6,25.8
Grimes AL,89.4,7.4,0,1.1,0,2.1,19.3
Coosada AL,92.6,6,0,0,1.4,0,22.9
Calera AL,90,5.8,0.1,0,2.7,1.4,33.3
Talladega Springs AL,95,5,0,0,0,0,28.5
Pickensville AL,87.8,9.4,0,0,2.8,0,32.7
Dadeville AL,84.9,11.4,0,2.7,0,1,21.9
Loachapoka AL,75.7,5.6,0,0,17.8,0.9,19.7
Vernon AL,87.7,10.5,0,1,0.8,0,19.4
Red Bay AL,86.8,5.6,0.6,0,1,6,32.7
Union AL,91.7,0,0,0,0,8.3,27.6
Pennington AL,89.7,5.9,0,1.5,0,2.9,32.4
Samson AL,82.9,12.9,0,0.5,2.3,1.4,28.4
Mount Vernon AL,72.5,12.3,0,0,7.9,7.4,29.6
Gadsden AL,82.1,11.4,0.4,1.5,3.5,1.1,19.7
Talladega AL,77.7,13.7,2.1,3,1.5,2,18.7
Lexington AL,84.6,12.8,0,2.6,0,0,30.7
Decatur AL,88.8,7.6,0.2,0.2,1.8,1.3,20.9
Lincoln AL,85,9.4,0,1.3,4.2,0,25.2
Woodland AL,88.7,0,0,5.7,5.7,0,26.8
Fairhope AL,83.6,6,0.5,0.6,7.9,1.4,24.6
Robertsdale AL,82.3,11.4,0,0.3,6,0,25.2
Garden City AL,91,9,0,0,0,0,23.2
Georgiana AL,74.8,22.2,0,2.4,0.5,0,23
Brookwood AL,89.1,8.2,0,0,2.1,0.6,24.5
Walnut Grove AL,77.7,12,0,0,10.4,0,36
Dothan AL,87.9,7.6,0.1,0.9,2.5,1,19.1
Kinsey AL,88.8,9.7,0,0,0.8,0.7,19.9
Eldridge AL,96.1,0,0,3.9,0,0,30.6
Jasper AL,82.1,15,0,1.2,1.7,0,21.8
Kansas AL,81.7,11.3,0,2.8,0,4.2,29.9
Fultondale AL,92.6,4.9,0,0,1.9,0.6,24
Foley AL,84.8,9.3,0,0,5.5,0.5,20.6
Guin AL,90.4,2.8,0.6,0.6,4.4,1.2,21.1
Daphne AL,91.8,3.9,0.4,0,3.4,0.6,27.5
Silverhill AL,81.3,7.6,0,0,4.8,6.3,25.5
Leesburg AL,84.1,12,0,0,3.9,0,24.1
Rainsville AL,84.3,12.5,0,0.9,2.3,0,16.5
Rainbow City AL,82.9,8.9,0,0.2,6.7,1.3,24
